town,date,max_temp_c,min_temp_c,avg_temp_c,humidity,precipitation_mm,wind_kph,condition
Nakuru,2023-12-10,21.5,14.4,17.2,81,9.24,11.2,Light rain shower
Nakuru,2023-12-11,23.9,12.5,17.2,72,0.23,14.8,Patchy rain possible
Nakuru,2023-12-12,24.9,12.1,18.0,67,0.05,13.3,Patchy rain possible
Nakuru,2023-12-13,24.5,11.8,17.4,72,2.22,16.2,Patchy light drizzle
Nakuru,2023-12-14,23.6,13.2,17.6,72,2.7,13.0,Patchy rain possible
Nakuru,2023-12-15,23.8,12.3,17.2,75,0.81,18.4,Patchy rain possible
Nakuru,2023-12-16,22.2,14.8,17.7,72,0.4,20.2,Patchy rain possible
Nakuru,2023-12-17,23.4,13.6,17.6,69,0.16,19.4,Patchy rain possible
Nakuru,2023-12-18,25.2,11.2,17.1,68,0.02,15.8,Patchy rain possible
Nakuru,2023-12-19,22.9,11.9,17.0,75,0.85,14.4,Patchy rain possible
Nakuru,2023-12-20,23.0,14.9,17.6,75,4.75,15.5,Patchy rain possible
Nakuru,2023-12-21,23.1,14.0,17.7,71,1.0,20.5,Patchy rain possible
Nakuru,2023-12-22,24.7,11.9,17.6,65,0.03,19.1,Patchy rain possible
Nakuru,2023-12-23,24.1,12.3,17.4,67,0.14,19.8,Patchy rain possible
Nakuru,2023-12-24,24.9,13.5,18.0,65,0.13,19.1,Patchy rain possible
Nakuru,2023-12-25,24.8,12.9,18.1,67,0.07,18.4,Patchy rain possible
Nakuru,2023-12-26,23.7,12.9,17.9,71,0.34,20.9,Patchy rain possible
Nakuru,2023-12-27,24.4,12.0,17.3,67,0.01,22.7,Partly cloudy
Nakuru,2023-12-28,25.8,11.2,17.6,61,0.02,13.7,Sunny
Nakuru,2023-12-29,24.6,13.4,17.9,67,0.48,13.0,Patchy rain possible
Nakuru,2023-12-30,23.6,12.8,17.7,72,2.58,13.7,Patchy rain possible
Nakuru,2023-12-31,24.9,12.9,18.0,70,0.87,16.9,Patchy rain possible
Nakuru,2024-01-01,25.0,13.4,18.1,70,1.87,15.5,Patchy rain possible
Eldoret,2023-10-12,24.1,12.7,17.5,72,2.5,15.1,Patchy rain possible
Eldoret,2023-10-13,24.1,12.8,18.0,66,0.99,14.0,Patchy rain possible
Eldoret,2023-10-14,25.0,13.1,17.7,72,4.95,22.7,Light rain shower
Eldoret,2023-10-15,24.6,13.9,17.8,74,3.34,26.6,Patchy light rain
Eldoret,2023-10-16,24.3,13.4,17.7,74,3.83,22.0,Light rain shower
Eldoret,2023-10-17,23.9,12.7,17.0,78,4.35,16.6,Patchy rain possible
Eldoret,2023-10-18,24.6,13.2,17.5,77,15.26,21.6,Patchy rain possible
Eldoret,2023-10-19,24.2,13.0,17.7,74,0.7,19.4,Patchy rain possible
Eldoret,2023-10-20,23.9,12.2,17.6,72,0.42,17.6,Patchy rain possible
Eldoret,2023-10-21,23.2,12.6,16.8,76,27.07,16.2,Patchy rain possible
Eldoret,2023-10-22,22.2,13.6,16.7,82,54.04,18.4,Patchy rain possible
Eldoret,2023-10-23,23.9,13.1,17.0,79,7.95,23.8,Patchy light rain
Eldoret,2023-10-24,24.8,12.1,18.2,62,0.0,22.0,Sunny
Eldoret,2023-10-25,24.2,13.9,18.4,68,0.42,23.8,Patchy rain possible
Eldoret,2023-10-26,24.4,13.0,18.0,68,0.44,22.3,Patchy rain possible
Eldoret,2023-10-27,24.3,12.4,17.5,70,0.4,22.3,Patchy rain possible
Eldoret,2023-10-28,23.3,12.3,16.9,72,2.63,18.7,Patchy rain possible
Eldoret,2023-10-29,23.5,12.5,16.8,79,13.99,18.0,Patchy rain possible
Eldoret,2023-10-30,23.1,12.7,16.8,79,14.06,25.9,Patchy rain possible
Eldoret,2023-10-31,23.5,13.0,17.2,78,2.82,22.7,Patchy rain possible
Eldoret,2023-11-01,23.4,13.0,17.4,76,0.68,22.0,Patchy rain possible
Eldoret,2023-11-02,22.7,13.2,17.0,81,21.8,17.3,Patchy rain possible
Eldoret,2023-11-03,19.2,13.4,15.4,88,15.57,13.7,Light rain shower
Eldoret,2023-11-04,19.5,14.0,15.7,88,10.13,8.3,Light rain shower
Eldoret,2023-11-05,21.0,13.0,16.2,86,22.83,12.6,Light rain shower
Eldoret,2023-11-06,21.8,13.2,16.8,83,66.42,14.8,Patchy rain possible
Eldoret,2023-11-07,20.9,14.3,16.4,85,38.43,12.2,Light rain shower
Eldoret,2023-11-08,22.1,12.8,16.7,82,6.81,16.6,Light rain shower
Eldoret,2023-11-09,22.3,12.7,16.9,76,1.64,25.2,Patchy rain possible
Eldoret,2023-11-10,21.9,12.8,16.6,82,5.78,24.1,Light rain shower
Eldoret,2023-11-11,22.0,13.0,16.5,79,1.67,24.1,Patchy rain possible
Eldoret,2023-11-12,22.4,13.6,16.7,78,2.91,26.6,Patchy rain possible
Eldoret,2023-11-13,20.9,13.9,16.5,84,7.51,24.1,Light rain shower
Eldoret,2023-11-14,22.0,12.9,16.8,80,5.32,20.5,Patchy rain possible
Eldoret,2023-11-15,23.1,12.7,17.2,76,2.88,18.7,Patchy rain possible
Eldoret,2023-11-16,23.8,13.3,17.8,73,0.33,20.9,Patchy rain possible
Eldoret,2023-11-17,22.9,13.3,17.3,74,0.04,20.9,Patchy rain possible
Eldoret,2023-11-18,23.5,12.9,17.7,71,0.07,21.2,Patchy rain possible
Eldoret,2023-11-19,24.0,12.7,17.6,74,1.84,18.7,Patchy rain possible
Eldoret,2023-11-20,20.7,14.1,15.8,86,0.92,23.0,Patchy rain possible
Eldoret,2023-11-21,22.3,13.4,16.6,82,5.63,19.8,Light rain shower
Eldoret,2023-11-22,17.9,12.5,14.5,88,1.74,26.6,Light rain shower
Eldoret,2023-11-23,21.7,12.9,16.4,80,1.37,24.5,Patchy rain possible
Eldoret,2023-11-24,21.7,13.2,16.3,80,3.32,23.0,Light rain shower
Eldoret,2023-11-25,22.8,12.9,17.2,70,0.23,19.8,Patchy rain possible
Eldoret,2023-11-26,22.0,13.2,16.9,77,3.01,22.0,Patchy rain possible
Eldoret,2023-11-27,21.5,12.7,16.5,73,0.26,20.9,Patchy rain possible
Eldoret,2023-11-28,22.8,12.7,16.7,74,2.15,22.0,Light rain shower
Eldoret,2023-11-29,22.1,12.3,16.8,68,0.0,19.4,Partly cloudy
Eldoret,2023-11-30,22.2,12.2,16.8,63,0.0,23.4,Partly cloudy
Eldoret,2023-12-01,23.0,12.1,17.2,58,0.0,18.0,Sunny
Eldoret,2023-12-02,23.0,12.9,17.3,62,0.18,16.2,Patchy rain possible
Eldoret,2023-12-03,22.9,12.5,17.3,70,0.21,16.2,Patchy rain possible
Eldoret,2023-12-04,23.2,12.3,17.3,67,0.0,22.7,Partly cloudy
Eldoret,2023-12-05,23.2,11.9,17.1,64,0.03,18.4,Patchy rain possible
Eldoret,2023-12-06,24.2,12.7,17.5,69,2.28,15.5,Patchy rain possible
Eldoret,2023-12-07,23.6,13.1,17.4,73,4.3,13.3,Patchy rain possible
Eldoret,2023-12-08,24.0,12.8,17.6,67,1.63,13.7,Moderate rain at times
Eldoret,2023-12-09,25.0,13.0,17.9,70,2.03,15.8,Patchy rain possible
Eldoret,2023-12-10,21.9,14.4,17.0,80,11.05,17.6,Light rain shower
Eldoret,2023-12-11,23.9,13.3,17.9,71,0.43,18.0,Patchy rain possible
Eldoret,2023-12-12,24.6,12.8,17.9,67,0.37,18.7,Patchy rain possible
Eldoret,2023-12-13,25.1,13.5,18.3,64,0.23,13.3,Patchy rain possible
Eldoret,2023-12-14,23.9,13.8,18.4,69,1.85,15.8,Patchy rain possible
Eldoret,2023-12-15,23.8,13.5,17.8,73,0.63,18.0,Patchy rain possible
Eldoret,2023-12-16,22.1,13.2,17.2,72,0.22,22.7,Patchy rain possible
Eldoret,2023-12-17,22.8,13.3,17.5,69,0.35,29.2,Patchy rain possible
Eldoret,2023-12-18,24.7,12.3,17.9,63,0.51,24.8,Partly cloudy
Eldoret,2023-12-19,23.9,13.7,17.8,67,0.16,22.7,Patchy rain possible
Eldoret,2023-12-20,23.0,15.1,17.5,74,8.34,16.2,Light rain shower
Eldoret,2023-12-21,23.8,15.0,18.1,70,2.8,20.5,Light rain shower
Eldoret,2023-12-22,25.3,14.1,19.0,59,0.01,26.3,Partly cloudy
Eldoret,2023-12-23,24.9,14.0,18.8,59,0.0,24.1,Sunny
Eldoret,2023-12-24,24.8,13.8,18.3,64,0.23,16.6,Patchy rain possible
Eldoret,2023-12-25,25.2,14.2,19.1,60,0.04,17.3,Patchy rain possible
Eldoret,2023-12-26,24.6,13.9,18.5,68,0.16,24.1,Patchy rain possible
Eldoret,2023-12-27,24.3,13.6,18.1,67,0.0,29.9,Partly cloudy
Eldoret,2023-12-28,24.8,13.5,17.7,66,3.84,19.8,Patchy rain possible
Eldoret,2023-12-29,22.7,15.1,18.4,64,1.42,16.6,Patchy rain possible
Eldoret,2023-12-30,24.2,14.2,17.9,73,4.23,16.2,Light rain shower
Eldoret,2023-12-31,24.6,13.6,18.1,74,6.31,18.0,Patchy rain possible
Eldoret,2024-01-01,22.6,13.5,17.4,77,15.43,14.8,Patchy light rain
